"","Ano","AreaVerde"
"1",2005,0.311288077875489
"2",2007,0.313723393362988
"3",2008,0.55238734485387
"4",2010,0.389744523194655
"5",2012,0.364093696317448
"6",2013,0.370588882189433
"7",2014,0.20683572048858
"8",2017,0.220194688721782
"9",2019,0.381626299283664
"10",2020,0.389102133839964
"11",2021,0.18144958532895
"12",2022,0.237562712597126
"13",2024,0.183667990125255
